"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","@globaltimesnews When you don't have the courage to bite ... then you shouldn't bark as well #BoycottMadeInChina… https://t.co/r12HQeSDmR",FALSE,0,"globaltimesnews",2020-06-02 21:37:16,TRUE,"1267878788228145157","1267933326528131074","49616273","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","girish_pattnaik",0,FALSE,FALSE,NA,NA
"65","Another Chinese Brand. Just saying. #BoycottMadeInChina #BoycottChineseProducts
@Wangchuk66 https://t.co/LL8zu3d0Ok",FALSE,0,NA,2020-06-02 21:36:31,FALSE,NA,"1267933136027090944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sumitsonii",0,FALSE,FALSE,NA,NA
"66","@FinalAnalyses #BoycottMadeInChina can be implemented step by step, we can stop the import of colorful lights, leat… https://t.co/sYZvDxLAwg",FALSE,0,"FinalAnalyses",2020-06-02 21:36:24,TRUE,"1267660385718542337","1267933107602239489","1239435354454855681","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Desi_Crypto_",0,FALSE,FALSE,NA,NA
"67","@Google and @GoogleIndia Restore ""Remove China Apps"" app on Google play store. #GooglePlayStore @GooglePlay… https://t.co/tSEw00UFtc",FALSE,1,"Google",2020-06-02 21:35:41,TRUE,NA,"1267932928983601153","20536157","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amazing__ak",0,FALSE,FALSE,NA,NA
"68","RT @SureshNakhua: #BoycottChineseProducts #BoycottMadeInChina

'Remove China App' app was really useful in identifying Chinese apps.

Unfor…",FALSE,0,NA,2020-06-02 21:34:18,FALSE,NA,"1267932579262369793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Infidelicious_",63,TRUE,FALSE,NA,NA
"69","RT @_funtoosh_: Poll: Should Indians boycott Chinese apps or use it?
#BoycottChineseProducts 
#Deletechineseapp 
#BoycottChina 
#RemoveChin…",FALSE,0,NA,2020-06-02 21:34:07,FALSE,NA,"1267932533632663561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_funtoosh_",2,TRUE,FALSE,NA,NA
"70","RT @LegalKant: Don't blame Google play store

Nothing stops Indians developers to create versions of Google, @TwitterIndia @Facebook @TikTo…",FALSE,0,NA,2020-06-02 21:33:55,FALSE,NA,"1267932484433375232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abhijeetkum",3,TRUE,FALSE,NA,NA
"71","@nijjam15 Don't blame Google play store

Nothing stops Indians developers to create versions of Google,… https://t.co/fVIoyXlkFU",FALSE,0,"nijjam15",2020-06-02 21:32:14,TRUE,"1267931515519930369","1267932056732012546","1227909517674856451","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bhagwafighter",0,FALSE,FALSE,NA,NA
"72","@OpIndia_com Don't blame Google play store

Nothing stops Indians developers to create versions of Google,… https://t.co/PGQfxGWhMM",FALSE,18,"OpIndia_com",2020-06-02 21:31:34,TRUE,"1267931496188444673","1267931892969623554","74980737","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bhagwafighter",2,FALSE,FALSE,NA,NA
"73","@ananthkrishnan Watch This!!
3 Reasons I uninstalled all chinese apps...
Link- https://t.co/qEy6mXecF1
.… https://t.co/INi19GHtYT",FALSE,0,"ananthkrishnan",2020-06-02 21:31:28,TRUE,"1267793028229414915","1267931866771984384","31399326","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sherickp",0,FALSE,FALSE,NA,NA
